Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
FIDUCIAL 2,FIDUCIAL,40.12mm,31.5mm,40.132mm,41.148mm,40.12mm,31.5mm,T,90.00,NOT MOUNTED
FIDUCIAL 1,FIDUCIAL,93.46mm,57.404mm,93.472mm,57.404mm,93.46mm,57.404mm,T,90.00,NOT MOUNTED
IC1,ARDUINO_NANO,71.628mm,45.212mm,53.848mm,37.592mm,53.848mm,37.592mm,T,360.00,NOT MOUNTED
C1,C1206,68.531mm,48.768mm,67.056mm,48.768mm,67.056mm,48.768mm,T,0.00,MLCC X7R 1206
C2,C1206,54.815mm,57.404mm,53.34mm,57.404mm,53.34mm,57.404mm,T,360.00,MLCC X7R 1206
D1,SMA,85.126mm,40.64mm,87.376mm,40.64mm,87.376mm,40.64mm,T,180.00,VS-10MQ040-M3/5AT
D2,SMA,45.502mm,33.528mm,47.752mm,33.528mm,47.752mm,33.528mm,T,180.00,VS-10MQ040-M3/5AT
IC2,SOT223-S,75.424mm,45.668mm,77.724mm,48.768mm,77.724mm,48.768mm,T,180.00,UA7805M05CDCY
J1,TLH_ESC,36.528mm,37.028mm,33.528mm,33.528mm,33.528mm,33.528mm,T,90.00,NOT MOUNTED
J2,TLH_PWR_IN,92.456mm,45.26mm,92.456mm,48.26mm,92.456mm,48.26mm,T,270.00,NOT MOUNTED
J3,TLH_PWR_IN,44.704mm,44.752mm,44.704mm,47.752mm,44.704mm,47.752mm,T,270.00,NOT MOUNTED
J4,TLH_ESC,36.528mm,52.268mm,33.528mm,48.768mm,33.528mm,48.768mm,T,90.00,NOT MOUNTED
J5,TLH_2PIN_100MIL,82.55mm,57.404mm,81.28mm,57.404mm,81.28mm,57.404mm,T,0.00,NOT MOUNTED
J6,TLH_5PIN_100MIL,65.024mm,32.512mm,70.104mm,32.512mm,70.104mm,32.512mm,T,180.00,NOT MOUNTED
J7,TLH_4PIN_100MIL,88.138mm,32.512mm,91.948mm,32.512mm,91.948mm,32.512mm,T,180.00,NOT MOUNTED
J8,TLH_2PIN_100MIL,54.61mm,32.512mm,55.88mm,32.512mm,55.88mm,32.512mm,T,180.00,NOT MOUNTED
J9,TLH_2PIN_100MIL,76.962mm,32.512mm,78.232mm,32.512mm,78.232mm,32.512mm,T,180.00,NOT MOUNTED
Q1,TLH_DPAK,55.474mm,45.212mm,52.324mm,45.212mm,52.324mm,45.212mm,T,90.00,IPD30N10S3L34ATMA1
R1,R0805,65.5193mm,56.896mm,65.532mm,56.896mm,64.6176mm,56.896mm,T,270.00,47k 1%  0.125W 0805
R2,R0805,59.436mm,56.8833mm,59.436mm,56.896mm,59.436mm,55.9816mm,T,0.00,10k 1% .125w 0805
R3,R0805,69.1007mm,40.64mm,69.088mm,40.64mm,70.0024mm,40.64mm,T,90.00,1k 1% 0.125W 0805
R4,R0805,65.024mm,44.7167mm,65.024mm,44.704mm,65.024mm,45.6184mm,T,180.00,10k 1% 0.125W 0805
D3,SOD-123,61.976mm,45.236mm,61.976mm,46.736mm,61.976mm,46.736mm,T,270.00,BZT52C5V1
C3,RAD_�7_X__2.54,84.328mm,46.736mm,84.328mm,46.736mm,84.328mm,45.466mm,T,90.00,NOT MOUNTED
