Comment,Pattern,Quantity,Components,
,,,,
NOT MOUNTED,RAD �7 X  2.54,1,C3,47 �F/ 25 V
10k 1% .125w 0805,R0805,1,R2,Resistor
10k 1% 0.125W 0805,R0805,1,R4,Resistor
1k 1% 0.125W 0805,R0805,1,R3,Resistor
47k 1%  0.125W 0805,R0805,1,R1,Resistor
NOT MOUNTED,,1,IC1,ARDUINO NANO CONTROLLER
BZT52C5V1,SOD-123,1,D3,ZENER 5V1
NOT MOUNTED,TLH ESC,2,"J1, J4",ESC CONNECT
NOT MOUNTED,FIDUCIAL,2,"FIDUCIAL 1, FIDUCIAL 2",
NOT MOUNTED,TLH 2PIN 100MIL,2,"J8, J9",Header 2 PIN 100 MIL
NOT MOUNTED,TLH 2PIN 100MIL,1,J5,"Header, 2-PIN 100 MIL"
NOT MOUNTED,TLH 4PIN 100MIL,1,J7,"Header, 4-PIN 100 MIL"
NOT MOUNTED,TLH 5PIN 100MIL,1,J6,"Header, 5-PIN 100 MIL"
IPD30N10S3L34ATMA1,TLH DPAK,1,Q1,RS 671-0788
MLCC X7R 1206,C1206,2,"C1, C2",RS# 802-9961
NOT MOUNTED,TLH PWR IN,1,J2,PWR IN HEADER
NOT MOUNTED,TLH PWR IN,1,J3,SOLENOID CONNECT
UA7805M05CDCY,SOT223-S,1,IC2,TEXAS
VS-10MQ040-M3/5AT,SMA,2,"D1, D2",Default Diode
